address,albers_x,albers_y,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1008 E 38TH AV, VANCOUVER, BC",1212466,473154,Sir Alexander Mackenzie Elementary,1212313,473057,84.06387011374356,00:01:24,0.567,schools
"1008 HOMER ST, VANCOUVER, BC",1209693,477676,Elsie Roy Elementary,1209538,477136,109.47993263028866,00:01:49,0.872,schools
"1008 ROBSON ST, VANCOUVER, BC",1209406,478372,Pattison High School,1209307,478110,106.48183298013356,00:01:46,0.655,schools
"1008 W 32ND AV, VANCOUVER, BC",1209264,473776,BC Children's Adol. Psych. Unit,1209444,473506,93.60219173612518,00:01:33,0.641,schools
"1009 E 10TH AV, VANCOUVER, BC",1212459,476086,Florence Nightingale StrongStart Centre,1211687,475869,153.05753671728343,00:02:33,1.259,schools
"1009 E 11TH AV, VANCOUVER, BC",1212464,475979,Florence Nightingale StrongStart Centre,1211687,475869,92.19890775235491,00:01:32,0.878,schools
"1009 E 14TH AV, VANCOUVER, BC",1212472,475685,Charles Dickens Elementary,1212535,475325,137.85229772049632,00:02:17,0.595,schools
"1009 E 21ST AV, VANCOUVER, BC",1212479,475012,Charles Dickens Elementary,1212535,475325,94.67480005082908,00:01:34,0.405,schools
"1009 E 22ND AV, VANCOUVER, BC",1212474,474906,Charles Dickens Annex,1212533,474809,53.958659730128105,00:00:53,0.162,schools
"1009 E 40TH AV, VANCOUVER, BC",1212481,473006,Sir Alexander Mackenzie Elementary,1212313,473057,114.7282819208444,00:01:54,0.491,schools
"1009 HARWOOD ST, VANCOUVER, BC",1208869,477757,Pattison High School,1209307,478110,79.37420610548227,00:01:19,0.58,schools
"1009 LAURIER AV, VANCOUVER, BC",1209243,474769,Westside Montessori,1209243,474492,52.91084070603375,00:00:52,0.425,schools
"1009 W 10TH AV, VANCOUVER, BC",1209260,476063,L'Ecole Bilingue Elementary,1209026,475541,89.45689111899227,00:01:29,0.847,schools
"1009 W 10TH AV, VANCOUVER, BC",1209244,476063,L'Ecole Bilingue Elementary,1209026,475541,89.45689111899227,00:01:29,0.847,schools
"1009 W 32ND AV, VANCOUVER, BC",1209255,473821,Vancouver Talmud Torah Elementary,1209333,474385,89.44306379821053,00:01:29,0.879,schools
"101 E 24TH AV, VANCOUVER, BC",1211053,474692,David Livingstone Elementary,1211419,474823,106.46992401272426,00:01:46,0.727,schools
"101 E 24TH AV, VANCOUVER, BC",1211044,474693,David Livingstone Elementary,1211419,474823,106.46992401272426,00:01:46,0.727,schools
"101 E 7TH AV, VANCOUVER, BC",1211030,476378,St Patrick Regional Secondary,1211034,475992,98.4498659180218,00:01:38,0.652,schools
"101 E HASTINGS ST, VANCOUVER, BC",1210986,478245,Crosstown Elementary,1210665,477892,118.37575689216281,00:01:58,0.723,schools
"101 E WATERFRONT ROAD, VANCOUVER, BC",1210971,478627,Alexander Academy,1210097,478578,336.08153745210143,00:05:36,2.067,schools
"101 SMITHE ST, VANCOUVER, BC",1210019,477663,Elsie Roy Elementary,1209538,477136,111.35040793650843,00:01:51,0.951,schools
"101 SMITHE ST, VANCOUVER, BC",1210024,477669,Elsie Roy Elementary,1209538,477136,111.35040793650843,00:01:51,0.951,schools
"101 SMITHE ST, VANCOUVER, BC",1210014,477657,Elsie Roy Elementary,1209538,477136,111.35040793650843,00:01:51,0.951,schools
"101 TALISMAN AV, VANCOUVER, BC",1210651,474294,General Wolfe Elementary,1210854,474408,118.09964562899158,00:01:58,0.959,schools
"101 W 5TH AV, VANCOUVER, BC",1210692,476588,St Patrick Regional Secondary,1211034,475992,171.04370754354858,00:02:51,1.506,schools
"101 W 5TH AV, VANCOUVER, BC",1210693,476574,St Patrick Regional Secondary,1211034,475992,171.04370754354858,00:02:51,1.506,schools
"101 W 5TH AV, VANCOUVER, BC",1210693,476563,St Patrick Regional Secondary,1211034,475992,171.04370754354858,00:02:51,1.506,schools
"1010 BURNABY ST, VANCOUVER, BC",1208896,477797,Anchor Point Montessori,1208902,477646,117.21289774323814,00:01:57,0.735,schools
"1010 CHILCO ST, VANCOUVER, BC",1208065,479150,King George Secondary,1208443,479047,103.09618044421438,00:01:43,0.736,schools
"1010 E 11TH AV, VANCOUVER, BC",1212463,475934,Florence Nightingale StrongStart Centre,1211687,475869,108.10971978990499,00:01:48,0.874,schools
"1010 E 17TH AV, VANCOUVER, BC",1212535,475325,Charles Dickens Elementary,1212535,475325,0.0,00:00:00,0,schools
"1010 E 21ST AV, VANCOUVER, BC",1212466,474955,Charles Dickens Elementary,1212535,475325,95.1185395073356,00:01:35,0.645,schools
"1010 E 22ND AV, VANCOUVER, BC",1212475,474859,Charles Dickens Annex,1212533,474809,88.03783460925659,00:01:28,0.541,schools
"1010 E 40TH AV, VANCOUVER, BC",1212474,472946,Sir Alexander Mackenzie Elementary,1212313,473057,55.86487922886208,00:00:55,0.276,schools
"1010 EXPO BOULEVARD, VANCOUVER, BC",1209991,477391,The Westside School,1210172,477754,242.0347679755779,00:04:02,2.853,schools
"1010 GILFORD ST, VANCOUVER, BC",1208161,479061,King George Secondary,1208443,479047,70.06792312667929,00:01:10,0.545,schools
"1010 HOWE ST, VANCOUVER, BC",1209381,477936,Anchor Point Montessori,1208902,477646,141.16006000211766,00:02:21,0.847,schools
"1010 NANTON AV, VANCOUVER, BC",1209247,474221,Vancouver Talmud Torah Elementary,1209333,474385,28.64905185611253,00:00:28,0.172,schools
"1010 PACIFIC BOULEVARD, VANCOUVER, BC",1210039,477294,Elsie Roy Elementary,1209538,477136,102.96768939255564,00:01:42,0.864,schools
"1010 PACIFIC BOULEVARD, VANCOUVER, BC",1210038,477305,Elsie Roy Elementary,1209538,477136,102.96768939255564,00:01:42,0.864,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212449,477627,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477597,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477582,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477574,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477582,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477590,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477605,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212483,477620,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212483,477628,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212483,477635,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477635,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212449,477612,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477589,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477613,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212449,477620,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212450,477605,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477574,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RAYMUR AV, VANCOUVER, BC",1212484,477597,Admiral Seymour StrongStart Centre,1212578,477967,149.61651241721773,00:02:29,1.126,schools
"1010 RICHARDS ST, VANCOUVER, BC",1209613,477733,Elsie Roy Elementary,1209538,477136,137.39138310078948,00:02:17,0.788,schools
"1010 SMITHE ST, VANCOUVER, BC",1209262,478345,Pattison High School,1209307,478110,73.12980487505098,00:01:13,0.504,schools
"1010 W 33RD AV, VANCOUVER, BC",1209245,473669,Vancouver Talmud Torah Elementary,1209333,474385,136.45115556159345,00:02:16,1.022,schools
"1010 W 38TH AV, VANCOUVER, BC",1209223,473177,Vancouver College,1208709,472956,120.21494377515208,00:02:00,0.782,schools
"1010 W KING EDWARD AV, VANCOUVER, BC",1209242,474530,Westside Montessori,1209243,474492,52.24250441313412,00:00:52,0.293,schools
"1011 BEACH AV, VANCOUVER, BC",1208624,477673,Anchor Point Montessori,1208902,477646,81.59942753843677,00:01:21,0.555,schools
"1011 E 16TH AV, VANCOUVER, BC",1212466,475502,Charles Dickens Elementary,1212535,475325,77.98595969584126,00:01:17,0.416,schools
"1011 E 38TH AV, VANCOUVER, BC",1212473,473210,Sir Alexander Mackenzie Elementary,1212313,473057,96.96725893548509,00:01:36,0.736,schools
"1011 E 39TH AV, VANCOUVER, BC",1212478,473112,Sir Alexander Mackenzie Elementary,1212313,473057,111.20586525325274,00:01:51,0.495,schools
"1011 E 41ST AV, VANCOUVER, BC",1212483,472904,Sir Alexander Mackenzie Elementary,1212313,473057,125.48704397593396,00:02:05,0.599,schools
"1011 RICHELIEU AV, VANCOUVER, BC",1209231,475337,L'Ecole Bilingue Elementary,1209026,475541,61.023088566480126,00:01:01,0.372,schools
"1011 W 33RD AV, VANCOUVER, BC",1209248,473728,Vancouver Talmud Torah Elementary,1209333,474385,94.61279050773464,00:01:34,0.708,schools
"1011 W 38TH AV, VANCOUVER, BC",1209212,473202,Vancouver College,1208709,472956,128.57850724008023,00:02:08,0.807,schools
"1011 W CORDOVA ST, VANCOUVER, BC",1209876,478908,Alexander Academy,1210097,478578,128.38846922261905,00:02:08,0.838,schools
"1011 W KING EDWARD AV, VANCOUVER, BC",1209237,474600,Westside Montessori,1209243,474492,59.357733195880925,00:00:59,0.419,schools
"1012 BALFOUR AV, VANCOUVER, BC",1209227,474818,Westside Montessori,1209243,474492,136.76597421439334,00:02:16,0.863,schools
"1012 BROUGHTON ST, VANCOUVER, BC",1208693,478565,Lord Roberts Elementary,1208355,478705,82.25496538286893,00:01:22,0.555,schools
"1012 E 12TH AV, VANCOUVER, BC",1212468,475829,Florence Nightingale StrongStart Centre,1211687,475869,90.91061597462999,00:01:30,0.831,schools
"1012 E 28TH AV, VANCOUVER, BC",1212481,474249,Sir Richard McBride Annex,1212408,473884,55.82208062434339,00:00:55,0.364,schools
"1012 E 33RD AV, VANCOUVER, BC",1212467,473671,Sir Richard McBride Annex,1212408,473884,87.65724951843343,00:01:27,0.609,schools
"1012 E 37TH AV, VANCOUVER, BC",1212473,473255,Sir Alexander Mackenzie Elementary,1212313,473057,60.36206037645255,00:01:00,0.32,schools
"1012 E 38TH AV, VANCOUVER, BC",1212477,473154,Sir Alexander Mackenzie Elementary,1212313,473057,51.252645448227085,00:00:51,0.22,schools
